game_key,Name,Platform,Franchise,Follows,Release date
0-day-attack-on-earth,0 Day Attack on Earth,X360,,1,1261526400
0-ji-no-kane-to-cinderella-halloween-wedding,0 Ji no Kane to Cinderella ~Halloween Wedding~,PSP,,0,1369267200
007-legends,007 Legends,X360,James Bond,6,1351641600
007-legends-eve,007 Legends: Eve,PC,James Bond,1,1353369600
007-legends-skyfall,007 Legends: Skyfall,X360,James Bond,0,1353369600
007-legends-patrice,007 Legends: Patrice,X360,James Bond,0,1356912000
007-racing,007 Racing,PS,James Bond,1,976838400
1-2-switch,1-2-Switch,NS,,5,1488499200
1-dot-dot-dot-2-dot-dot-dot-3-dot-dot-dot-kick-it-drop-that-beat-like-an-ugly-baby,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),PC,,1,1301616000
1-vs-100,1 vs. 100,X360,,1,1258588800
10-minute-solution,10 Minute Solution,Wii,,0,1277769600
10-pin-bowling,10-Pin Bowling,GBC,,0,933465600
10-pin-shuffle-pro-bowling,10 Pin Shuffle Pro Bowling,iOS,,0,1243209600
10-second-run-returns,10 Second Run RETURNS,NS,,0,1516838400
10-yard-fight,10-Yard Fight,SNES,,1,498441600
arcade-archives-10-yard-fight,Arcade Archives: 10-Yard Fight,NS,,0,1525219200
100-all-time-favorites,100 All-Time Favorites,DS,,0,1256601600
100-bullets,100 Bullets,X360,100 bullets,1,1262217600
100-classic-book-collection,100 Classic Book Collection,DS,,0,1230249600
100-classic-games,100 Classic Games,DS,,0,1302134400
100-doors-of-artifact-room-escape-challenge,100 doors of artifact: Room Escape Challenge,iOS,casual,0,1616803200
1000-cooking-recipes-from-elle-a-table,1000 Cooking Recipes from Elle à Table,DS,,0,1278028800
1000-tiny-claws,1000 Tiny Claws,PSP,,0,1317686400
10000-bullets,"10,000 Bullets",PS2,,2,1128556800
10000000,10000000,PC,,4,1329436800
1001-blockbusters,1001 BlockBusters,DSi,,0,1331164800
1001-crystal-mazes-collection,1001 Crystal Mazes Collection,DSi,,0,1291939200
1001-spikes,1001 Spikes,PC,,5,1401753600
aban-hawkins-and-the-1001-spikes,"Aban Hawkins and the 1,001 Spikes",PC,,0,1295308800
101-airborne-the-airborne-invasion-of-normandy,101 Airborne: The Airborne Invasion of Normandy,PC,,0,907113600
101-dino-pets-the-virtual-pet-game,101 Dino Pets: The Virtual Pet Game,PC,101 pets,0,1199059200
101-dolphin-pets,101 Dolphin Pets,DSi,101 pets,0,1297382400
101-in-1-explosive-megamix,101-in-1 Explosive Megamix,Wii,,0,1316649600
101-in-1-party-megamix,101-in-1 Party Megamix,Wii,,0,1256601600
101-in-1-sports-party-megamix,101-in-1 Sports Party Megamix,Wii,,0,1290124800
101-minigolf-world,101 Minigolf World,DSi,,0,1292544000
101-penguin-pets-3d,101 Penguin Pets 3D,3DS,101 pets,0,1387411200
101-pinball-world,101 Pinball World,DSi,,0,1326326400
101-pony-pets-3d,101 Pony Pets 3D,3DS,101 pets,0,1416441600
101-shark-pets,101 Shark Pets,DSi,101 pets,0,1295568000
1080-avalanche,1080° Avalanche,GC,,3,1074729600
11-11-memories-retold,11-11: MEMORIES RETOLD,PC,,10,1541721600
11-eyes-crossover,11 Eyes: CrossOver,X360,,1,1241222400
12-labours-of-hercules-ii-the-cretan-bull,12 Labours of Hercules II: The Cretan Bull,PC,The Labours of Heracles,2,1433462400
12-labours-of-hercules-iii-girl-power,12 Labours of Hercules III: Girl Power,PC,The Labours of Heracles,2,1438905600
12-labours-of-hercules-iv-mother-nature,12 Labours of Hercules IV: Mother Nature,PC,The Labours of Heracles,2,1451001600
12-labours-of-hercules-v-kids-of-hellas,12 Labours of Hercules V: Kids of Hellas,PC,The Labours of Heracles,2,1466121600
12-labours-of-hercules-vi-race-for-olympus,12 Labours of Hercules VI: Race for Olympus,PC,The Labours of Heracles,1,1482278400
12-labours-of-hercules-vii-fleecing-the-fleece,12 Labours of Hercules VII: Fleecing the Fleece,PC,The Labours of Heracles,1,1515715200
12-labours-of-hercules-viii-how-i-met-megara,12 Labours of Hercules VIII: How I Met Megara,PC,The Labours of Heracles,1,1545782400
12-labours-of-hercules,12 Labours of Hercules,PC,The Labours of Heracles,4,1427068800
12-sai-torokeru-puzzle-futari-no-harmony,12 Sai: Torokeru Puzzle Futari no Harmony,3DS,,0,1508976000
12riven-the-psi-climinal-of-integral,12Riven: The Psi-Climinal of Integral,PSP,,0,1239840000
13-sentinels-aegis-rim,13 Sentinels: Aegis Rim,NS,,11,1649721600
140,140,PC,,12,1381881600
15-days,15 Days,PC,,0,1258070400
final-fantasy-xv-day-one-edition,Final Fantasy XV: Day One Edition,PS4,Final Fantasy,0,1475193600
the-king-of-fighters-xv-day-one-edition,The King of Fighters XV: Day One Edition,PC,The King of Fighters,0,1645056000
final-fantasy-xv-day-one-steelbook-edition,Final Fantasy XV: Day One Steelbook Edition,PS4,Final Fantasy,0,1482969600
back-track--1,Back Track,PC,,0,915062400
15-puzzle,15 Puzzle,X360,,0,1251504000
1500ds-spirits-vol-1-mahjong,1500DS Spirits Vol. 1: Mahjong,DS,,0,1186617600
1500ds-spirits-vol-10-igo,1500DS Spirits Vol. 10: Igo,DS,,0,1210809600
1500ds-spirits-vol-2-shogi,1500DS Spirits Vol. 2: Shogi,DS,,0,1186617600
1500ds-spirits-vol-3-block-kuzushi,1500DS Spirits Vol. 3: Block Kuzushi,DS,,0,1186617600
1500ds-spirits-vol-4-reversi,1500DS Spirits Vol. 4: Reversi,DS,,0,1186617600
1500ds-spirits-vol-5-hanafuda,1500DS Spirits Vol. 5: Hanafuda,DS,,0,1186617600
1500ds-spirits-vol-6-trump,1500DS Spirits Vol. 6: Trump,DS,,0,1195689600
1500ds-spirits-vol-7-chess,1500DS Spirits Vol. 7: Chess,iOS,,0,1240012800
1500ds-spirits-vol-8-darts,1500DS Spirits Vol. 8: Darts,DS,,0,1195689600
1500ds-spirits-vol-9-2-nin-uchi-mahjong,1500DS Spirits Vol. 9: 2 Nin-uchi Mahjong,DS,,0,1195689600
153-hand-video-poker,153 Hand Video Poker,WiiU,,0,1464825600
16-shot-shooting-watch,16 Shot! Shooting Watch,DSi,,0,1271548800
18-wheeler-american-pro-trucker,18 Wheeler: American Pro Trucker,PS2,,3,1005696000
18-wheels-of-steel-across-america,18 Wheels of Steel: Across America,PC,,1,1064275200
18-wheels-of-steel-american-long-haul,18 Wheels of Steel: American Long Haul,PC,,1,1196640000
18-wheels-of-steel-convoy,18 Wheels of Steel: Convoy,PC,,1,1125532800
18-wheels-of-steel-extreme-trucker-2,18 Wheels of Steel: Extreme Trucker 2,PC,18 Wheels of Steel,1,1295049600
18-wheels-of-steel-extreme-trucker,18 Wheels of Steel: Extreme Trucker,PC,,1,1253664000
hard-truck-18-wheels-of-steel,Hard Truck: 18 Wheels of Steel,PC,,1,1028160000
18-wheels-of-steel-haulin,18 Wheels of Steel: Haulin',PC,,0,1165536000
18-wheels-of-steel-pedal-to-the-metal,18 Wheels of Steel: Pedal to the Metal,PC,,1,1093824000
1849,1849,PC,,2,1399507200
broadway-1849,Broadway: 1849,PC,,0,1511308800
1849-gold-edition,1849: Gold Edition,PC,,0,1399507200
1849-nevada-silver,1849: Nevada Silver,PC,,0,1410825600
western-1849-reloaded,Western 1849 Reloaded,PC,,0,1486684800
187-ride-or-die,187 Ride or Die,PS2,,1,1124755200
18th-gate,18th Gate,DSi,,0,1351123200
1941-counter-attack,1941: Counter Attack,PC,194X,1,1461196800
1942,1942,PS3,,8,1367280000
battlefield-1942-the-road-to-rome,Battlefield 1942: The Road to Rome,PC,,2,1044576000
battlefield-1942-secret-weapons-of-wwii,Battlefield 1942: Secret Weapons of WWII,PC,,6,1062720000
1942-delta,1942 Delta,PC,,0,1503619200
1942-joint-strike,1942: Joint Strike,X360,,0,1216771200
1942-pacific-air-war,1942: Pacific Air War,PC,,0,773452800
1943-the-battle-of-midway,1943: The Battle of Midway,SNES,,0,591667200
1950s-lawn-mower-kids,1950s Lawn Mower Kids,DSi,,0,1314835200
1954-alcatraz,1954 Alcatraz,PC,,4,1394582400
198x,198X,PC,,5,1560988800
1993-shenandoah,1993 Shenandoah,NS,Army Men,0,1594252800
1993-space-machine,1993 Space Machine,PC,,1,1459123200
1nsane,1nsane,PC,,6,978220800
2-fast-4-gnomz,2 Fast 4 Gnomz,Wii,,0,1335398400
mercury-hg,Mercury Hg,X360,Mercury,1,1318982400
mercury-race,Mercury Race,PC,,0,1543536000
mercury-abbey,Mercury Abbey,PC,,0,1672444800
2-games-in-1-disney-princess-plus-disneys-the-lion-king,2 Games in 1: Disney Princess + Disney's The Lion King,GBA,Disney,0,1101859200
disney-princess,Disney Princess,GBA,Disney,0,1056067200
disney-princess-magical-jewels,Disney Princess: Magical Jewels,DS,,0,1195171200
disney-princess-royal-adventure,Disney Princess: Royal Adventure,GBA,Disney,0,1162684800
2-games-in-1-disneys-brother-bear-plus-disney-princess,2 Games In 1: Disney's Brother Bear + Disney Princess,GBA,Disney,0,1115769600
2-games-in-1-double-pack-finding-nemo-plus-monsters-inc,"2 Games In 1 Double Pack: Finding Nemo + Monsters, Inc.",GBA,,0,1101168000
hot-wheels-all-out,Hot Wheels: All Out,GBA,,0,1158105600
hot-wheels-unleashed,Hot Wheels Unleashed,PC,Hot Wheels,5,1632960000
2-games-in-1-double-pack-power-rangers-ninja-storm-plus-power-rangers-time-force,2 Games in 1 Double Pack: Power Rangers Ninja Storm + Power Rangers Time Force,GBA,,0,1098403200
power-rangers-time-force-and-power-rangers-ninja-storm,Power Rangers Time Force and Power Rangers Ninja Storm,GBA,Power Rangers,0,1098403200
power-rangers-ninja-storm,Power Rangers Ninja Storm,PC,Power Rangers,1,1062547200
scooby-doo--1,Scooby-Doo,GBA,,0,1023148800
scooby-doo-unmasked,Scooby-Doo! Unmasked,DS,Scooby-Doo,0,1129593600
2-games-in-1-sonic-advance-plus-chuchu-rocket,2 Games in 1: Sonic Advance + ChuChu Rocket!,GBA,,0,1138233600
2-games-in-1-sonic-advance-plus-sonic-battle,2 Games in 1: Sonic Advance + Sonic Battle,GBA,Sonic The Hedgehog,0,1132099200
combo-pack-sonic-advance-plus-sonic-pinball-party,Combo Pack: Sonic Advance + Sonic Pinball Party,GBA,Sonic The Hedgehog,0,1132099200
sonic-advance,Sonic Advance,WiiU,Sonic The Hedgehog,14,1424217600
sonic-advance-2,Sonic Advance 2,WiiU,Sonic The Hedgehog,9,1456272000
sonic-advance-3,Sonic Advance 3,WiiU,Sonic The Hedgehog,8,1464134400
2-games-in-1-sonic-pinball-party-plus-sonic-battle,2 Games in 1: Sonic Pinball Party + Sonic Battle,GBA,Sonic The Hedgehog,0,1138233600
sonic-pinball-party,Sonic Pinball Party,GBA,Sonic The Hedgehog,0,1067558400
spongebob-squarepants-battle-for-bikini-bottom--1,Spongebob Squarepants: Battle For Bikini Bottom,GBA,Spongebob Squarepants,0,1067558400
spongebob-squarepants-battle-for-bikini-bottom,Spongebob Squarepants: Battle For Bikini Bottom,PC,Spongebob Squarepants,5,1067558400
spongebob-squarepants-battle-for-bikini-bottom-rehydrated,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,PC,Spongebob Squarepants,75,1592870400
spongebob-squarepants-spongebob-saves-the-day,SpongeBob SquarePants: SpongeBob Saves the Day!,PC,,0,1567036800
spongebob-squarepants-supersponge,Spongebob Squarepants: SuperSponge,PS,Spongebob Squarepants,1,1004918400
asterix-and-obelix-xxl-3-the-crystal-menhir,Asterix & Obelix XXL 3: The Crystal Menhir,PC,Asterix,2,1574294400
asterix-and-obelix,Asterix & Obelix,GBC,Asterix,3,820368000
asterix-and-obelix-xxl-romastered,Asterix & Obelix XXL: Romastered,PC,,0,1603324800
asterix-and-obelix-xxl-collection,Asterix & Obelix XXL: Collection,NS,,0,1622073600
spider-man--1,Spider-Man,PC,Spider-Man,27,1018828800
marvels-spider-man,Marvel's Spider-Man,PS4,Marvel,347,1536278400
spider-man--5,Spider-Man,PC,Marvel,65,1001030400
spider-man-2,Spider-Man 2,PSP,Marvel,60,1110844800
word-puzzle-connect-words,Word Puzzle - Connect words,iOS,,0,1508544000
2002-fifa-world-cup,2002 FIFA World Cup,PC,,5,1019779200
fifa-football-2002,FIFA Football 2002,PC,,11,1004572800
2010-fifa-world-cup-south-africa,2010 FIFA World Cup South Africa,X360,,8,1272326400
2014-fifa-world-cup-brazil,2014 FIFA World Cup Brazil,X360,,5,1397692800
2064-read-only-memories-integral,2064: Read Only Memories INTEGRAL,NS,,2,1534204800
2064-read-only-memories,2064: Read Only Memories,PC,,21,1444089600
20xx,20XX,PC,,8,1502841600
20xx-tournament-edition,20XX: Tournament Edition,GC,Super Smash Bros.,0,1448668800
super-smash-bros-melee-20xx-edition,Super Smash Bros. Melee: 20XX Edition,GC,,0,1394496000
seven-samurai-20xx,Seven Samurai 20XX,PS2,,1,1085875200
21-blackjack,21: Blackjack,DSi,,0,1322697600
blackjack-21,Blackjack 21,WiiU,,0,1466640000
cheaters-blackjack-21,Cheaters Blackjack 21,PC,,0,1465257600
24-the-game,24: The Game,PS2,,3,1145664000
24-game-math-card-puzzle,24 Game – Math Card Puzzle,iOS,,0,1292025600
24-games-for-windows-95,24 Games For Windows 95,PC,,0,820368000
24-hours-til-rescue,24 Hours 'til Rescue,PC,,0,1455840000
24-slash-7-solitaire,24/7 Solitaire,DSi,,0,1277424000
25-to-life,25 To Life,PC,,2,1137456000
28-waves-later,28 Waves Later,PC,,0,1489536000
2dark,2Dark,PC,,4,1489104000
2dark-deluxe-edition,2Dark Deluxe Edition,PC,,0,1489104000
2nd-super-robot-wars-original-generation,2nd Super Robot Wars Original Generation,PS3,,2,1354147200
2puzzle-it-fantasy,2Puzzle It: Fantasy,DSi,,0,1278633600
2xl-supercross,2XL Supercross,iOS,,0,1239235200
2xtreme,2Xtreme,PS,,1,849398400
3-2-1-rattle-battle,"3-2-1, Rattle Battle!",Wii,,0,1238457600
aca-neogeo-3-count-bout,ACA NEOGEO 3 COUNT BOUT,NS,Arcade Archives,0,1539216000
3-d-ultra-pinball,3-D Ultra Pinball,PC,,0,791596800
3-d-ultra-pinball-thrill-ride,3-D Ultra Pinball: Thrill Ride,PC,,0,917827200
3-d-ultra-pinball-thrillride,3-D Ultra Pinball: Thrillride,GBC,,0,978307200
3-d-ultra-pinball-creep-night,3-D Ultra Pinball: Creep Night,PC,,0,823132800
3-d-ultra-pinball-the-lost-continent,3-D Ultra Pinball: The Lost Continent,PC,,0,854755200
3-d-worldrunner,3-D WorldRunner,SNES,,0,560995200
onimusha-3-demon-siege,Onimusha 3: Demon Siege,PC,,18,1187740800
the-lost-heir-3-demon-war,The Lost Heir 3: Demon War,PC,,0,1489708800
of-tanks-and-demons-iii,Of Tanks and Demons III,NS,,0,1597363200
demon-hunter-3-revelation,Demon Hunter 3: Revelation,PC,,1,1480550400
3-heroes-crystal-soul,3 Heroes: Crystal Soul,DSi,,0,1329955200
3-on-3-nhl-arcade,3 on 3 NHL Arcade,X360,,0,1234310400
3-out-of-10-season-one,3 out of 10: Season One,PC,,4,1599091200
3-stars-of-destiny,3 Stars of Destiny,PC,,0,1395964800
300-march-to-glory,300: March to Glory,PSP,,0,1174953600
30xx,30XX,PC,,0,1613520000
35mm,35MM,PC,,11,1464307200
36-fragments-of-midnight,36 Fragments of Midnight,PC,,0,1502064000
360-three-sixty,360: Three Sixty,PS,,0,946598400
39-days-to-mars,39 Days to Mars,PC,,0,1524614400
3d-baseball,3D Baseball,PS,,1,851904000
arc-style-baseball-3d,Arc Style: Baseball 3D,3DS,,0,1414627200
3d-classics-excitebike,3D Classics: Excitebike,3DS,Excite,0,1307404800
3d-classics-kid-icarus,3D Classics: Kid Icarus,3DS,,1,1326844800
3d-classics-kirby-s-adventure,3D Classics: Kirby's Adventure,3DS,Kirby,0,1335312000
3d-classics-twinbee,3D Classics: TwinBee,3DS,,1,1312934400
3d-classics-urban-champion,3D Classics: Urban Champion,3DS,,0,1310515200
3d-classics-xevious,3D Classics: Xevious,3DS,,0,1307404800
transformers-mystery-of-convoy,Transformers: Mystery of Convoy,Wii,Transformers,0,1213056000
convoy,Convoy,PC,,3,1429574400
3d-dot-game-heroes,3D Dot Game Heroes,PS3,,6,1257379200
3d-frog-frenzy,3D Frog Frenzy,PC,,0,917827200
3d-lemmings,3D Lemmings,PS,,1,815184000
lemmings-3d,Lemmings 3D,PS,,2,812332800
3d-maze-man-amazing-adventures,3D Maze Man: Amazing Adventures,PC,,0,915062400
3d-minigolf--1,3D MiniGolf,PS5,,0,1623456000
3d-minigolf,3D MiniGolf,NS,,0,1517443200
3d-minigolf-candy-shop,3D MiniGolf: Candy Shop,PC,,0,1507507200
villagers-and-heroes,Villagers and Heroes,PC,,0,1393891200
3d-pixel-racing,3D Pixel Racing,Wii,,0,1313280000
3d-pocket-pool,3D Pocket Pool,GBC,,0,985910400
pocket-pool,Pocket Pool,PSP,,0,1179360000
pocket-run-pool,Pocket-Run Pool,iOS,,0,1527033600
3d-rollercoaster-rush,3D Rollercoaster Rush,iOS,,0,1245110400
rollercoaster-tycoon-3d,RollerCoaster Tycoon 3D,3DS,,1,1351209600
3d-super-hang-on,3D Super Hang-On,3DS,,1,1385596800
super-hang-on,Super Hang-On,PS3,,4,1337731200
3d-twist-and-match,3D Twist & Match,DSi,,0,1302220800
3d-ultra-minigolf-adventures-2,3D Ultra Minigolf Adventures 2,PS3,,0,1309305600
3d-ultra-minigolf-adventures,3D Ultra Minigolf Adventures,X360,,0,1176854400
3d-ultra-minigolf-adventures-deluxe,3D Ultra Minigolf Adventures Deluxe,PC,,0,1248307200
3on3-freestyle,3on3 Freestyle,PC,,4,1508112000
3on3-freestyle-rebound,3on3 FreeStyle: Rebound,PC,,0,1594771200
3souls,3Souls,WiiU,,0,1469664000
3xtreme,3Xtreme,PS,,0,927244800
4-4-2-soccer,4-4-2 Soccer,PS,,0,873676800
4-elements-hd,4 Elements HD,PS3,,0,1314748800
4-elements,4 Elements,PC,,0,1220400000
4-elements-ii,4 Elements II,PC,,0,1348704000
the-keeper-of-4-elements,The Keeper Of 4 Elements,PS4,,0,1480636800
4-in-1-fun-pak,4-in-1 Fun Pak,GB,,0,724982400
4-in-1-funpak-volume-ii,4-in-1 Funpak Volume II,GB,,0,757296000
4-pics-1-word,4 Pics 1 Word,iOS,,0,1360713600
4-travellers-play-french,4 Travellers: Play French,DSi,,0,1279238400
4-travellers-play-spanish,4 Travellers: Play Spanish,DSi,,0,1268352000
40-in-1-explosive-megamix,40-in-1 Explosive Megamix,DSi,,0,1326931200
40-winks,40 Winks,PC,40 Winks,10,1540166400
428-shibuya-scramble,428: Shibuya Scramble,PSP,,2,1253145600
4pm,4PM,PC,,1,1404864000
4x4-evo-2,4x4 EVO 2,PC,,0,1004400000
4x4-evolution,4x4 Evolution,PC,,3,972777600
4x4-hummer,4x4 Hummer,PC,,0,1243555200
4x4-jam,4x4 Jam,PSP,,0,1281052800
4x4-world-trophy,4X4 World Trophy,GBC,,0,962409600
5-arcade-gems,5 Arcade Gems,Wii,,0,1272585600
5-in-1-mahjong,5 in 1 Mahjong,DSi,,0,1300406400
5-in-1-solitaire,5 in 1 Solitaire,Wii,,1,1267401600
5-spots-party,5 Spots Party,Wii,,0,1250726400
5-star-racing,5 Star Racing,PS,,0,1071446400
50-cent-blood-on-the-sand,50 Cent: Blood on the Sand,X360,,5,1235088000
50-cent-bulletproof,50 Cent: Bulletproof,PSP,,1,1132185600
50-cent-bulletproof-g-unit-edition,50 Cent: BulletProof - G-Unit edition,PSP,,0,1159488000
50-classic-games,50 Classic Games,DS,,0,1250208000
50-classic-games-3d,50 Classic Games 3D,3DS,,0,1335225600
505-tangram,505 Tangram,DSi,,0,1295568000
60-seconds,60 Seconds!,PC,,5,1432512000
60-seconds-reatomized,60 Seconds! Reatomized,PC,60 Seconds!,2,1564012800
meteor-60-seconds,Meteor 60 Seconds!,PC,,0,1519603200
6180-the-moon,6180 The Moon,PC,,1,1411084800
64-hanafuda-tenshi-no-yakusoku,64 Hanafuda: Tenshi no Yakusoku,N64,,0,941760000
64-oozumou-2,64 Oozumou 2,N64,,0,921801600
64-oozumou,64 Oozumou,N64,,0,880675200
64-trump-collection-alice-no-waku-waku-trump-world,64 Trump Collection: Alice no Waku-waku Trump World,N64,,0,902448000
7-blades,7 Blades,PS2,,1,1001635200
conquerors-blade-season-vii-wolves-of-ragnarok,Conqueror's Blade: Season VII - Wolves of Ragnarok,PC,,0,1616025600
fire-emblem-the-blazing-blade,Fire Emblem: The Blazing Blade,WiiU,Fire Emblem,31,1417651200
7-card-games,7 Card Games,DSi,,0,1271030400
7-days-to-die,7 Days to Die,PC,,32,1386892800
7-molmorth-no-kiheitai,7: Molmorth no Kiheitai,PS2,,0,977356800
7-roses-a-darkness-rises,7 Roses: A Darkness Rises,PC,,0,1596240000
7-scarlet,7'scarlet,PC,,0,1552348800
7-sins,7 Sins,PC,,4,1117152000
7-sexy-sins,7 Sexy Sins,PC,,0,1556236800
ben-jordan-paranormal-investigator-case-7-the-cardinal-sins,Ben Jordan: Paranormal Investigator - Case 7: The Cardinal Sins,PC,,0,1218585600
7-wonders-ii,7 Wonders II,PC,,2,1177027200
7-wonders-of-the-ancient-world,7 Wonders of the Ancient World,PSP,,1,1195516800
7-wonders-treasures-of-seven,7 Wonders: Treasures Of Seven,PC,,1,1224806400
720-degrees,720 Degrees,GBC,,1,920246400
762-high-calibre,"7,62 High Calibre",PC,,1,1398816000
7-dot-62-high-calibre,7.62 High Calibre,PC,,1,1219536000
7th-dragon-2020-ii,7th Dragon 2020-II,PSP,,1,1366243200
7th-dragon-2020,7th Dragon 2020,PSP,,1,1322006400
7th-dragon-iii-code-vfd,7th Dragon III Code: VFD,3DS,,0,1480636800
7th-dragon-iii-code-vfd-launch-edition,7th Dragon III Code: VFD - Launch Edition,3DS,,0,1470960000
7th-dragon,7th Dragon,DS,,1,1236211200
7th-legion,7th Legion,PC,,0,875577600
7th-sector,7th Sector,PC,,3,1583366400
8-bit-adv-steins-gate,8-Bit Adv Steins Gate,NS,Steins;Gate,0,1550534400
steins-gate-8-bit,Steins;Gate 8-bit,PC,Steins;Gate,1,1319760000
8-bit-armies,8-Bit Armies,PC,,3,1537488000
8-bit-armies-guardians-campaign,8-bit Armies: Guardians Campaign,PC,,0,1483142400
8-bit-armies-arena,8-Bit Armies: Arena,PC,,0,1486684800
8-bit-commando,8-bit Commando,PC,,1,1401667200
8-eyes,8 Eyes,SNES,,1,591321600
noel-the-mortal-fate-season-8-red-eyes-awaken,Noel The Mortal Fate Season 8 - red eyes awaken,PC,NOEL the mortal fate,0,1530230400
88-heroes-98-heroes-edition,88 Heroes: 98 Heroes Edition,NS,,0,1507766400
8bit-hero,8Bit Hero,WiiU,,0,1463011200
8bitboy,8BitBoy,PC,,2,1399334400
9-clues-2-the-ward,9 Clues 2: The Ward,PC,,2,1410912000
9-clues-the-secret-of-serpent-creek,9 Clues: The Secret of Serpent Creek,PC,,2,1374105600
serpent,Serpent,GB,,0,639360000
broken-sword-5-the-serpents-curse,Broken Sword 5: The Serpent's Curse,PC,,28,1386115200
9-the-last-resort,9: The Last Resort,PC,,0,844041600
90-s-pool,90's Pool,DSi,,0,1332979200
911-operator,911 Operator,PC,,11,1487894400
911-operator-search-and-rescue,911 Operator: Search and Rescue,PC,,0,1532563200
911-operator-deluxe-edition,911 Operator: Deluxe Edition,NS,,0,1588204800
911-operator-first-response,911 Operator: First Response,PC,,0,1490313600
911-operator-special-resources,911 Operator: Special Resources,PC,,0,1487894400
99-levels-to-hell,99 Levels to Hell,PC,,1,1361836800
99-spirits-cage-of-night,99 Spirits: Cage of Night,PC,,1,1404432000
99-spirits,99 Spirits,PC,,0,1341705600
99-spirits-special-edition,99 Spirits: Special Edition,PC,,0,1388448000
99-spirits-weeping-demons-bell,99 Spirits: Weeping Demon's Bell,PC,,0,1424649600
99bullets,99Bullets,DSi,,0,1338336000
99moves--1,99Moves,WiiU,,0,1418860800
99seconds,99Seconds,WiiU,,0,1412208000
99seconds--1,99Seconds,WiiU,,0,1412208000
99vidas-definitive-edition,99Vidas: Definitive Edition,NS,,0,1543276800
99vidas,99Vidas,PC,,7,1482624000
9dragons,9Dragons,PC,,0,1487030400
9dragons-kung-fu-arena,9Dragons: Kung Fu Arena,PC,,0,1551312000
9th-company-roots-of-terror,9th Company: Roots Of Terror,PC,,0,1259798400
a-10-cuba,A-10 Cuba!,PC,,0,851990400
a-bird-hunt-retro-bird-hunting-game,A Bird Hunt: Retro Bird Hunting Game,iOS,,0,1398556800
run-like-hell-hunt-or-be-hunted,Run Like Hell: Hunt or Be Hunted,PS2,,1,1033084800
a-bird-story,A Bird Story,PC,Sigmund Corporation,11,1415318400
the-story-of-the-revolutionary-watermelon-that-wanted-to-live-free-as-a-bird-and-learned-how-to-escape,The story of the revolutionary watermelon that wanted to live free as a bird and learned how to escape,PC,,0,1487721600
a-boy-and-his-blob,A Boy and His Blob,Wii,,3,1258934400
a-boy-and-his-blob--1,A Boy and His Blob,PC,,2,1453161600
a-bugs-life,A Bug's Life,GBC,A Bug's Life,0,928022400
disney-slash-pixar-a-bugs-life,Disney/Pixar A Bug's Life,PC,A Bug's Life,4,909792000
a-completely-normal-dating-simulation-that-is-definitely-completely-sweet-innocent-and-normal,"a completely normal dating simulation that is definitely completely sweet, innocent and normal",PC,,0,1581292800
normality,Normality,PC,,1,1310601600
a-day-at-the-carnival,A Day at the Carnival,WiiU,,0,1499299200
a-duel-hand-disaster-trackher,A Duel Hand Disaster: Trackher,PC,,0,1503705600
a-fairy-tale,A Fairy Tale,DSi,,0,1309392000
fairy-tale-quest,Fairy Tale Quest,PC,,0,1230681600
farmers-fairy-tale,Farmer's Fairy Tale,PC,,0,1622332800
a-farewell-to-dragons,A Farewell to Dragons,PC,,1,1266537600
a-fistful-of-gun,A Fistful of Gun,PC,,2,1474588800
a-frog-game,A Frog Game,NS,,0,1603324800
the-haunted-island-a-frog-detective-game,"The Haunted Island, a Frog Detective Game",PC,,2,1542844800
frog-fractions-game-of-the-decade-edition,Frog Fractions: Game of the Decade Edition,PC,,0,1596326400
a-ga,A-GA,PC,,0,1088121600
a-ga-gekidou-no-wakusei,A-GA: Gekidou no Wakusei,PC,,1,1104451200
the-dwarves,The Dwarves,PC,,7,1451606400
we-are-the-dwarves,We Are The Dwarves,PC,,1,1456358400
a-game-of-dwarves,A Game of Dwarves,PC,,2,1351296000
a-game-of-thrones-board-game,A Game of Thrones: Board Game,iOS,,0,1617753600
game-of-thrones,Game of Thrones,X360,A Game of Thrones,10,1337040000
game-of-thrones-ascent,Game of Thrones: Ascent,iOS,A Game of Thrones,1,1392681600
a-game-of-thrones-genesis--1,A Game of Thrones: Genesis,PC,A Game of Thrones,1,1318464000
a-ghostly-tale,A Ghostly Tale,PC,,0,1570752000
ghost-of-a-tale,Ghost of a Tale,PC,,23,1520899200
ronin-tales-of-a-ghost,Ronin: Tales of a Ghost,PC,,0,1628294400
the-orphan-a-tale-of-an-errant-ghost-hidden-object-game,The Orphan A Tale of An Errant Ghost: Hidden Object Game,PC,,0,1578268800
a-golden-wake,A Golden Wake,PC,,4,1412812800
a-gummys-life,A Gummy's Life,PC,,0,1491782400
a-hat-in-time,A Hat in Time,PC,,69,1507161600
a-hat-in-time-seal-the-deal,A Hat in Time: Seal the Deal,PC,,1,1536796800
a-hat-in-time-nyakuza-metro,A Hat in Time: Nyakuza Metro,PC,,1,1557446400
a-hole-new-world,A Hole New World,PC,,1,1495152000
a-kappas-trail,A Kappa's Trail,DSi,,0,1260316800
a-kingdom-for-keflings,A Kingdom for Keflings,X360,,0,1227052800
